[4S, 8C, 9H, TS, KC]         [2S, 3S, 5D, 7D, AC]        player2 win
[2S, 3C, 4C, KD, KH]         [2C, 6S, 7C, TS, AC]        player1 win
[2C, 3C, 4C, 6H, KH]         [4D, 5H, 5S, 7S, QD]        player2 win
[4D, 7C, 8S, TS, QD]         [3C, 6H, 9D, KS, KD]        player2 win
[4D, 4C, 7S, TS, QS]         [3H, 8D, 9S, TC, QD]        player1 win
[3C, 6S, TS, QH, AC]         [6H, 8S, 9H, 9D, QS]        player2 win
[3S, 4S, 5D, 7S, JS]         [2D, 6C, 6S, TH, QH]        player2 win
[4C, 4H, 5D, JS, AS]         [3D, 8S, 9C, TS, AC]        player1 win
[3S, 5C, 6S, 7C, 9C]         [3C, 6H, QS, AD, AS]        player2 win
[3H, 6S, 7H, 8C, 9S]         [7C, 9H, JD, KH, AS]        player2 win
[3D, 3H, 4D, 6C, 7S]         [2H, 7C, 9C, TH, AC]        player1 win
[3H, 4H, 5S, TC, AC]         [8D, 9C, 9H, 9S, TH]        player2 win
[4D, 5H, 6C, 8D, 9H]         [2H, 3S, 5D, 6S, QD]        player2 win
[4C, 4D, 5C, JD, QS]         [3H, 8C, TH, QH, AC]        player1 win
[3C, 5S, 7H, QC, AD]         [4C, 4H, 6D, JD, KS]        player2 win
[3H, 9H, QS, KS, AH]         [2S, 2H, 5H, JS, JH]        player2 win
[2H, 5S, 6S, TH, TS]         [3S, 3C, 5H, JS, KS]        player1 win
[2D, 3D, 7H, 9S, KC]         [6D, 7D, TD, JH, JS]        player2 win
[2C, 8H, 8C, JS, AC]         [2D, 7S, TH, JH, JC]        player2 win
[2H, 3D, 5D, 8H, 9S]         [9C, TC, JC, KD, AH]        player2 win
[2H, 6D, 9D, JC, QD]         [9S, TS, TH, QH, KH]        player2 win
[2C, 4S, 5H, 8D, JD]         [3H, 9C, TH, TC, KC]        player2 win
[3D, 4D, 7D, 9H, AS]         [2H, 3H, 7S, TH, KH]        player1 win
[2S, 4H, 7S, JS, KS]         [2H, 8S, 8D, TS, QD]        player2 win
[5S, 6H, 8H, JH, KS]         [2S, 3S, 6S, QC, AC]        player2 win
[8H, JC, QS, AS, AD]         [4C, 4D, 6C, QD, KH]        player1 win
[2S, 3D, 9S, TS, TD]         [5C, 6S, 8D, QS, KS]        player1 win
[3C, 4S, 6D, QC, KC]         [TH, JH, QD, KH, AD]        player2 win
[2S, 4D, 9H, KS, AH]         [7C, 8D, JH, JC, QS]        player2 win
[2D, 3C, 6C, 8H, TH]         [2S, 3S, QD, QH, KS]        player2 win
[4C, 5D, 6H, 9S, TS]         [9D, TD, JS, JD, QD]        player2 win
[5H, 8H, 8S, KH, KS]         [4S, 7C, TD, KD, AD]        player1 win
[2C, 5S, 7C, JC, AS]         [5H, 6C, 7D, 8S, 9C]        player2 win
[6S, 9S, TS, QD, KH]         [3C, 5S, QS, QH, KC]        player2 win
[3H, 3C, 5C, 7D, KD]         [6H, 7H, JH, JD, AS]        player2 win
[5C, 8H, 9D, 9H, KC]         [2S, 4S, 4D, KS, AD]        player1 win
[2S, 3S, 8D, JD, QD]         [5S, 5H, 6S, 7C, TS]        player2 win
[3S, 6D, 9S, TD, KC]         [5C, 6H, 8D, JD, QD]        player1 win
[5H, 8D, 9D, TS, KD]         [4C, 6H, 7D, TD, QC]        player1 win
[4S, 6D, 9D, JD, AH]         [9S, 9H, TD, QD, AS]        player2 win
[2D, 2H, 5S, 6H, 9C]         [7D, 9S, TD, TC, QC]        player2 win
[2H, 2C, 3S, TS, KS]         [7D, 8S, 9C, 9D, JS]        player2 win
[3C, 5D, 6D, 6C, KC]         [6H, 7S, 8S, QS, AS]        player1 win
[2H, 4C, 8D, 9S, JH]         [8H, 9H, TH, KH, AD]        player2 win
[2S, 5C, JS, QC, AS]         [2C, 3H, 6H, 7H, KD]        player1 win
[2S, 3S, 8H, 8D, QD]         [2C, 5C, 6D, TC, AH]        player1 win
[3H, 8S, TS, JD, JS]         [5D, 6H, TD, JC, KC]        player1 win
[3H, 5D, 6S, TC, QS]         [4H, 7C, 7D, JC, AH]        player2 win
[2H, 5D, 7C, 8H, 9C]         [2C, 5S, 9H, JH, KH]        player2 win
[3S, 6S, 7H, 9C, TH]         [4C, JD, QC, QD, AC]        player2 win
[2H, 5D, 7D, 9S, KC]         [2D, 3S, QS, KH, AS]        player2 win
[2S, 2H, 4S, 5C, 7D]         [4D, 9S, TD, TH, QH]        player2 win
[3S, 4H, 6D, 6H, TS]         [2D, 5S, 8H, 9D, KS]        player1 win
[3S, 4H, 5C, 9H, KS]         [5D, 6H, 6S, JS, KH]        player2 win
[4C, 8C, JC, KC, AS]         [TH, QC, QD, KH, AH]        player2 win
[2C, 5H, 6S, 9S, KH]         [3C, 4D, 7H, TC, JC]        player1 win
[4S, 5S, 6S, 8D, JD]         [2H, 4D, 4C, 7H, 7S]        player2 win
[5D, 7H, 9H, 9C, KH]         [5H, 7C, 7S, TS, TC]        player2 win
[4C, 4S, 8D, TS, QC]         [3D, 7C, 9H, JS, AD]        player1 win
[3H, 5C, 5D, 8C, QS]         [4S, 9D, JS, KC, AH]        player1 win
[8S, TS, TH, JD, QS]         [2D, JH, JS, QD, KH]        player2 win
[5D, 6S, 9H, JD, QC]         [2C, 3S, 8H, 9S, TS]        player1 win
[2S, 4C, 7H, JC, AD]         [2D, 3D, 4H, 5C, 6D]        player2 win
[2C, 4H, 7S, 8C, JS]         [3S, 9C, TD, QD, AD]        player2 win
[4C, 6H, 9H, TS, JD]         [3C, 6D, 7D, QD, AS]        player2 win
[4C, 5D, 6S, 7C, AS]         [4S, 5S, 5C, JS, QC]        player2 win
[3C, 6S, 7C, 9S, KD]         [5S, 7D, JH, JS, QD]        player2 win
[2C, 4S, 7S, 8S, JH]         [3D, 5D, 7H, QH, AD]        player2 win
[2H, 4H, 6H, 8D, TD]         [2D, 5D, 7C, KH, AD]        player2 win
[2C, 3S, 5H, TS, QD]         [2S, 5C, TD, KH, AH]        player2 win
[4D, 5D, 8C, KC, AS]         [2H, 2S, 6C, 7C, 9H]        player2 win
[TS, JS, QC, QS, KD]         [2C, 5D, JH, KH, AD]        player1 win
[3S, 5H, 6C, 9H, KC]         [2H, 3H, 7D, 7S, AD]        player2 win
[7S, 8S, JS, JH, KD]         [2S, 2H, 7D, 7C, 9H]        player2 win
[2D, 6S, 8D, 9H, QC]         [5H, 6C, 8H, AD, AS]        player2 win
[2S, 6C, 6D, 7H, 7D]         [3C, 5D, 8C, 9D, JC]        player1 win
[2H, 7C, 7H, 9C, JD]         [3S, 4S, KD, KH, AD]        player2 win
[4D, 9H, JD, QH, AS]         [5H, TS, KS, KD, KH]        player2 win
[3S, 3D, 4C, 5S, 8H]         [7D, 7S, TD, KC, AD]        player2 win
[5S, 8S, 8H, JS, JC]         [4D, 5D, 9C, TH, KC]        player1 win
[2C, 5S, 7C, 9C, QD]         [5H, 8D, JS, QH, KH]        player2 win
[2S, 3D, TD, KS, AD]         [3C, 5D, 7S, TC, KC]        player1 win
[2S, 4C, 6C, QS, AD]         [5C, 9S, TH, QD, QH]        player2 win
[2D, 2S, 8C, QS, AD]         [6C, JD, JC, KC, KS]        player2 win
[2H, 4D, 5D, 8D, JS]         [7S, 7D, TS, QD, QH]        player2 win
[3S, 6S, 7H, 8C, 8S]         [6C, 8H, 9D, 9S, QS]        player2 win
[2S, 4S, 5C, TC, QD]         [4D, 6D, 6S, TH, QS]        player2 win
[3S, 5C, 6H, 8D, 9D]         [4C, 7D, 7C, TC, TD]        player2 win
[5S, 6S, 7H, AH, AS]         [3H, 4C, 5H, KD, AC]        player1 win
[8D, 8S, QS, KS, AH]         [2C, 5D, 6H, 7D, AD]        player1 win
[2H, 6H, 9H, 9S, QS]         [2D, 5D, 8S, 9C, KD]        player1 win
[5S, 7D, TS, JH, QC]         [7S, 9S, 9H, TH, AC]        player2 win
[3H, 4D, 6S, 7H, KC]         [4S, 5C, 6D, TS, QD]        player1 win
[2S, 3H, 7C, TD, QD]         [4H, 7S, 7H, 9D, JH]        player2 win
[3D, 4H, 5H, TC, KS]         [2S, 2D, 6D, 7D, AS]        player2 win
[3C, 3H, 7H, 8H, TD]         [9C, TH, KC, KH, AD]        player2 win
[2C, 4C, 9S, 9D, TC]         [2H, 3C, 5C, 9C, JD]        player1 win
[3H, 5D, TS, AC, AD]         [6H, 6S, 8D, 8C, QC]        player2 win
[2S, 3S, 7H, TS, JD]         [4C, 5S, 8S, 8D, QH]        player2 win
[3C, 4S, 6C, KH, AC]         [2D, 2H, 3D, 7C, 8S]        player2 win
[2H, 4H, 6C, 8S, TH]         [3H, 4S, 7S, 8H, 9S]        player1 win
[2C, 4C, 5C, 7C, 9C]         [4D, 5D, QH, KD, AS]        player1 win
[4H, 7D, 9H, TS, AS]         [2H, 5D, 8D, 8C, 9S]        player2 win
[2H, QC, KD, AC, AD]         [2D, 3S, 7S, 9S, AS]        player1 win
[2H, 6D, 8H, TC, QC]         [3C, 5D, QD, QS, KH]        player2 win
[2S, 4C, TH, JD, QS]         [3S, 5S, 7H, AD, AS]        player2 win
[3D, 3S, 6C, 7H, JS]         [6D, 9S, QS, AS, AC]        player2 win
[8C, 9C, TS, TC, AS]         [6H, 6C, 8S, 8D, 9D]        player2 win
[4D, 7C, 9C, JD, KC]         [3S, 6D, 8C, KS, AS]        player2 win
[3H, 6S, 8D, TC, TS]         [3S, 7C, 9S, KC, AS]        player1 win
[4H, 4S, 8C, 8S, QC]         [3S, 6C, TC, AH, AC]        player1 win
[2H, 4D, 5C, 7D, AS]         [6S, TS, TC, QC, AD]        player2 win
[4S, 8S, TH, QD, QC]         [3D, 4H, TS, JH, AH]        player1 win
[2D, 2C, 3H, 5C, 9S]         [3C, 7D, 9D, QD, QH]        player2 win
[6C, 7S, 9H, KC, KD]         [2D, 3C, 4D, TC, AS]        player1 win
[3D, 4D, 9D, JS, KS]         [3H, 3C, 7D, TH, QC]        player2 win
[2H, 3H, 5S, 8D, 9D]         [3C, 4C, 4H, 8C, TH]        player2 win
[4S, 6S, TH, JC, JD]         [2D, 3D, 4D, 4C, 6C]        player1 win
[2D, 3S, 4H, TS, AC]         [2C, 2H, 6S, 6H, JH]        player2 win
[8S, TD, TC, AD, AH]         [6S, 7S, 9S, JH, AC]        player1 win
[4S, 6C, 8D, JD, KC]         [5S, 7H, 9H, QH, AH]        player2 win
[5C, 8D, TS, JH, KD]         [3H, 5H, JS, AD, AS]        player2 win
[2D, 3D, 4H, 6C, 8C]         [5D, 5C, 7S, 8S, AD]        player2 win
[4S, 5D, 7S, 9C, TD]         [4C, 5H, 6C, 8C, 8S]        player2 win
[5C, 9C, JS, QH, AS]         [3D, 7C, JC, QS, QC]        player2 win
[9C, JC, JH, QS, KH]         [2C, 3D, TS, QC, AD]        player1 win
[5D, 5C, 9S, JH, AC]         [4C, 8C, TS, JD, KS]        player1 win
[2D, 9H, KC, KH, AS]         [2C, 3D, 4D, 5S, 6H]        player2 win
[2D, 8S, TH, JC, AH]         [3D, 3S, 7S, 8C, QH]        player2 win
[4H, 8H, JC, QD, AS]         [3C, 6D, 9S, KH, KS]        player2 win
[4S, 7D, 9S, 9C, QH]         [4D, 7H, KH, KD, AC]        player2 win
[6D, 9C, TH, AH, AD]         [4H, 9S, QH, KD, KS]        player1 win
[6H, 7C, 9C, QD, QS]         [5S, 6D, 6S, 9D, JH]        player1 win
[2H, 5H, 8D, QD, AH]         [4H, 5S, JC, KS, KH]        player2 win
[2S, 5C, 8D, 9C, JS]         [3D, 8C, KC, AS, AH]        player2 win
[2H, 8H, 9S, JD, QS]         [4C, 5S, 5C, 8C, TH]        player2 win
[2S, 2C, 8C, QC, QS]         [3S, 4C, 9C, KS, KH]        player1 win
[2D, 5D, 8S, AH, AD]         [2C, 8C, TD, JS, KS]        player1 win
[5S, 5H, 8H, TC, QC]         [4H, 6H, 9H, 9S, JD]        player2 win
[3C, 4H, 9H, JH, AH]         [2H, 4S, 4C, 8D, AC]        player2 win
[4D, 6D, 7D, 8S, TH]         [7S, 7C, TC, QD, QS]        player2 win
[2D, 5H, 6D, JD, KH]         [4H, 4S, JS, JH, QD]        player2 win
[3S, 4S, 7S, 9C, JH]         [4H, 8C, TS, TC, QC]        player2 win
[4D, 9D, JH, QH, QS]         [2C, 2D, 3S, 6C, 7C]        player1 win
[4H, 5C, 5H, 9S, JD]         [2D, 4C, 9D, TS, AH]        player1 win
[2D, 5D, TS, JH, KS]         [7H, 8D, JS, AH, AS]        player2 win
[8C, JS, KS, AH, AD]         [2C, 5S, 6C, 8H, TH]        player1 win
[2H, 5D, KS, AD, AC]         [3D, 6H, 8H, TS, QC]        player1 win
[4H, 5H, 6D, 9C, TS]         [4C, 6S, JS, JH, JD]        player2 win
[2C, 4H, 6D, JH, QH]         [3C, 4C, 5D, QS, KC]        player2 win
[4H, 6H, 6C, 6S, 7H]         [2S, 8S, 8C, QC, KH]        player1 win
[3H, 3D, 4H, 5D, KS]         [3S, 4D, TD, TS, AD]        player2 win
[2C, 5S, 7C, 7D, 8S]         [6C, 7S, 8C, JS, KS]        player1 win
[2H, 3S, 5D, 5C, 7C]         [5H, 6D, 9C, 9H, QD]        player2 win
[2S, 8D, 9S, JS, KD]         [8C, 9D, TD, TS, AC]        player2 win
[2S, 5H, 8C, QD, AC]         [3C, 4S, 7C, 9H, KS]        player1 win
[3H, 8S, 9C, KH, AS]         [4S, 4D, JS, QS, AD]        player2 win
[2S, 4D, TD, AS, AD]         [4C, 5H, 9H, JC, QS]        player1 win
[2D, 4H, 5D, 7C, TC]         [3S, 4S, 6C, JS, KC]        player2 win
[2C, 4C, 5D, 9H, AC]         [3D, 8S, JD, QS, QH]        player2 win
[2C, 3C, 6H, 8S, QH]         [6D, TC, KD, AC, AH]        player2 win
[3S, 4S, 6C, QC, QS]         [5C, 8D, KH, AC, AD]        player2 win
[4C, 5S, KH, AC, AS]         [2C, 5C, 8D, 9C, QC]        player1 win
[3C, 8H, 8D, JD, KH]         [5C, 9C, 9D, QD, QH]        player2 win
[2C, 4S, 7H, 8C, TS]         [5H, 9C, TD, JC, QH]        player2 win
[2C, 4S, 7C, TH, JS]         [6C, 7S, JD, KS, AS]        player2 win
[7C, 7H, 9H, TC, JH]         [3D, 4D, 5H, 5D, 6D]        player1 win
[2C, 2H, 9D, JH, QD]         [3D, 5S, TD, KS, AD]        player1 win
[3S, 4D, TH, JD, QH]         [4H, 6S, 7D, QS, KS]        player2 win
[5S, 8D, 8H, TC, KS]         [2S, 2D, 4C, JH, AD]        player1 win
[2D, 3S, 5S, TC, JH]         [4C, 9D, 9S, QS, KD]        player2 win
[3H, 9D, KH, AC, AS]         [6C, 6S, 9H, QD, KC]        player1 win
[3D, 5C, 7S, 7D, 9H]         [4H, 6S, 8H, TD, KC]        player1 win
[3C, 7H, 8H, TC, QD]         [4D, 6S, 6C, 7S, QH]        player2 win
[4C, 6D, 6C, QD, AD]         [5D, 7D, 9D, TS, KS]        player1 win
[2H, 7S, 9S, JH, JD]         [5D, 8D, 8H, TS, KH]        player1 win
[2D, 4C, 7D, 9S, 9D]         [5H, 6D, 6S, QD, AC]        player1 win
[6D, 7S, JC, JH, QD]         [2H, 4C, 6S, 7D, QS]        player1 win
[2H, 8C, TD, JH, KD]         [2C, 5C, 7S, JS, QS]        player1 win
[4H, 5H, TC, JH, QD]         [3S, 5S, 5D, 8S, KH]        player2 win
[2C, 5D, 7C, KS, KH]         [6S, 6D, 9C, JH, JC]        player2 win
[5H, 9C, JD, JS, AH]         [2H, 4D, 5S, 6H, KC]        player1 win
[3C, 6H, TH, QC, AS]         [7C, 8S, 8C, 9C, TD]        player2 win
[2C, 9C, QD, KC, KH]         [3C, 4D, 7S, 9H, TS]        player1 win
[2S, 8C, 9C, TS, QC]         [3S, 3C, 9S, TD, QD]        player2 win
[4D, 9D, TH, JH, AH]         [2S, 6S, JD, JS, QH]        player2 win
[6C, 7D, 9H, QD, KD]         [5D, 6S, 7H, 8H, AH]        player2 win
[2H, 3C, 4S, 5H, 8H]         [4H, 7S, QS, QH, AC]        player2 win
[3C, 4H, 7S, 9S, QS]         [3S, 7C, 9D, KS, AH]        player2 win
[2H, 2D, 5S, 6S, AD]         [3C, 4S, 5H, 8C, TC]        player1 win
[4D, 6S, TS, JS, QH]         [6D, 8S, JH, KS, AS]        player2 win
[2C, 2S, 5H, 8S, TD]         [6C, TC, TS, KC, AS]        player2 win
[2H, 3H, 8H, TS, KC]         [4C, 5S, 7C, TH, TD]        player2 win
[7H, 7S, KD, KH, AD]         [2D, 5D, 5H, 5S, 9C]        player2 win
[3D, 7S, 8C, 9S, AD]         [7C, 9C, QC, KD, KS]        player2 win
[3C, 4D, 8C, 9S, QC]         [2C, 5C, 6C, QD, AS]        player2 win
[2H, 7S, 8S, JD, KC]         [2S, 4D, 5C, 8D, AC]        player2 win
[2S, 3D, 9D, TC, QH]         [3S, 3C, 9H, TD, KS]        player2 win
[2C, 6S, 7H, KD, AC]         [3S, 5H, 6C, 6H, 8C]        player2 win
[6S, 8S, TC, QH, KH]         [4H, 4D, 5D, TH, TS]        player2 win
[2C, 4H, 6H, 8C, JS]         [2H, 3D, 7D, QD, AC]        player2 win
[2D, 5S, 6S, QS, KC]         [3H, 4H, 4C, TD, JH]        player2 win
[5H, 7S, 7H, 8H, KH]         [6H, 7D, TH, QS, KD]        player1 win
[5H, 7C, KD, KH, AD]         [3C, 5S, 6D, 6C, TD]        player1 win
[5H, 7C, 8C, 9C, JD]         [2H, 3S, 7H, KC, KH]        player2 win
[4H, 4D, 7S, 8S, AD]         [3D, 5S, 7H, TH, QS]        player1 win
[8D, 9S, TC, KS, KD]         [2S, 5C, 6D, JD, AD]        player1 win
[2H, 6C, 7H, 8H, QD]         [6H, 7C, 9D, 9S, TC]        player2 win
[4C, 6D, 6C, 7C, 8D]         [3C, TH, JS, JH, KH]        player2 win
[3S, 5S, 8S, 9H, JS]         [7S, 8H, KD, AS, AD]        player2 win
[2C, 5H, 7C, JH, KC]         [9C, 9S, JS, AS, AD]        player2 win
[2C, 6S, QD, AD, AC]         [3H, 7C, TH, KS, KD]        player1 win
[4H, 4C, 8H, 9D, JD]         [7S, 8C, TS, KH, KC]        player2 win
[2H, 3S, 5S, 6H, 7S]         [5C, 6D, 7D, KS, AD]        player2 win
[5S, 7H, 8C, 9H, QS]         [2H, 6C, 7S, 7D, TD]        player2 win
[5S, 9D, TD, QS, AC]         [2D, 3D, 4D, TC, KC]        player1 win
[2H, 7D, TD, JD, QD]         [3D, 4C, 5D, 7H, KC]        player2 win
[3H, 4C, 8S, QH, KD]         [5S, 5H, 9H, TC, QC]        player2 win
[5H, 9C, TH, TS, QD]         [2C, 5C, 9H, QH, AH]        player1 win
[3C, 4D, 6S, 6C, AC]         [2C, 2H, 3D, TD, TH]        player2 win
[4D, 5D, 9C, QC, AC]         [6D, 8D, 8C, KC, AD]        player2 win
[3C, 4H, 8D, AD, AC]         [7S, 8H, 9S, TD, JC]        player2 win
[2D, 4H, 9H, JS, QH]         [TH, TD, TC, KD, KS]        player2 win
[5S, 6S, 8D, 9S, TH]         [5H, 5C, 8S, KH, AS]        player2 win
[2S, 5S, 6S, 9S, JD]         [5D, 7S, 7H, 8S, 9D]        player2 win
[4C, 5D, 8C, 9D, AD]         [2C, 7D, TS, TC, KD]        player2 win
[4D, 5C, 8S, QS, KC]         [4S, 8D, JD, KH, KD]        player2 win
[5C, 7D, QH, AS, AD]         [2H, 7H, 7C, 9S, TC]        player1 win
[2S, 7S, 8S, JD, KH]         [5D, 6C, 6D, QC, AD]        player2 win
[3S, 6H, 8C, 8H, 9H]         [4H, TC, TD, JS, AH]        player2 win
[2C, 2D, 4D, 7H, TS]         [5D, 7C, 9C, TH, QC]        player1 win
[5D, 6C, 8H, TS, QC]         [4S, 5C, 5H, 9H, JH]        player2 win
[2D, 7H, JS, QC, AS]         [2H, 4C, 4H, 8S, 8D]        player2 win
[3D, 6S, JS, KD, AC]         [3C, 4S, 7H, TH, KC]        player1 win
[5S, 6S, QH, QS, KH]         [3C, 3S, 3H, 4H, QD]        player2 win
[4H, 7H, 8C, KH, AS]         [3D, 5S, 6S, 9C, TS]        player1 win
[3H, 5S, 7C, 9C, QD]         [2C, 3D, 5H, AD, AC]        player2 win
[2D, 4C, TD, TS, JH]         [3H, 3S, 7S, KH, AD]        player1 win
[4C, 4D, 5H, 6S, AS]         [2D, 3C, 6H, JC, KD]        player1 win
[2D, 3H, 6S, 8C, TH]         [4S, 5H, QH, AH, AD]        player2 win
[2S, 7C, 7H, 9H, KC]         [3H, 5C, 5S, 6D, JC]        player1 win
[3C, 4H, 9C, TC, QD]         [5S, 6D, 9H, TD, JH]        player1 win
[5C, 5D, 6S, 6C, 7C]         [4S, 6H, 7H, 9H, AH]        player1 win
[2H, 2C, 7D, KC, AD]         [2S, 3S, 4C, 7H, 9S]        player1 win
[3S, 4C, 6S, 8S, TH]         [TD, JH, KS, AD, AS]        player2 win
[4S, 4D, 5C, TD, AD]         [5D, 6S, 7D, 9C, TC]        player1 win
[3S, 4D, 4S, 5S, 8H]         [3H, 3D, 5C, 6H, AC]        player1 win
[3C, 4S, 9H, QS, AC]         [4D, 5H, 8S, 9D, QH]        player1 win
[5H, 6C, TS, JC, AC]         [7C, 8C, 9C, JD, QD]        player1 win
[2D, 8S, 8H, 9C, JD]         [3C, 6H, 8D, QC, QH]        player2 win
[2H, 5H, 6H, JS, KS]         [3H, 6D, 7C, QH, QS]        player2 win
[3H, 4S, 7H, TC, QC]         [2H, 3S, 8C, JS, KH]        player2 win
[4C, 5S, 8H, 9H, AH]         [3H, 7S, JD, JC, AC]        player2 win
[2D, 3C, 4C, 5S, 6C]         [3S, 3D, 4S, JD, QS]        player1 win
[2D, 5H, TC, KS, AH]         [6D, 6H, 7H, 8C, AD]        player2 win
[3C, 6C, 7S, 7C, JD]         [6D, 8H, KS, KH, AH]        player2 win
[3H, 7D, 8H, 8S, AH]         [2D, 5H, 7H, 9D, QS]        player1 win
[4H, 7S, 8S, JD, AC]         [9S, 9D, QH, KS, AS]        player2 win
[2C, 5S, 7S, 8S, JH]         [4C, JC, QS, KD, AH]        player2 win
[2S, 4H, 8D, 9H, AH]         [6H, TS, TD, JD, QH]        player2 win
[3H, 4H, 6D, JC, QS]         [7S, 8S, 8D, 9C, 9D]        player2 win
[4S, 4C, 5H, 9S, TD]         [3H, 3D, 7H, 8C, 8D]        player2 win
[2C, 2S, 3S, QS, KH]         [3C, 4S, 7S, TD, QD]        player1 win
[4D, 5S, 7C, TD, KH]         [4C, 6C, 7H, AC, AS]        player2 win
[2S, 5H, 6D, 9H, JD]         [2C, 2H, 8S, TD, QS]        player2 win
[2S, 6H, 7S, 9H, TS]         [4H, 4C, 5D, 5S, JC]        player2 win
[2C, 3S, 4H, 5H, 7D]         [6D, 8H, JC, JS, QH]        player2 win
[3S, 4C, 7C, QH, QD]         [5S, 8S, TH, TS, AD]        player1 win
[2S, 9H, TC, TD, JC]         [3S, 3D, 7D, TH, QH]        player1 win
[4C, 5C, 7D, 8S, JH]         [3S, 3H, 6S, 8H, KC]        player2 win
[3H, TC, JC, QH, KH]         [2C, 5H, 6H, TH, AC]        player2 win
[2H, 2C, 9D, QS, AS]         [2S, 6S, 6C, 8C, 8S]        player2 win
[4H, 7D, 9H, TH, QC]         [3C, 7S, QS, KD, AC]        player2 win
[4D, 5S, 6S, 8H, JH]         [3S, 9S, QC, KS, AS]        player2 win
[2D, 6S, 7S, TC, JD]         [3H, 7D, 9H, KC, KD]        player2 win
[2H, 4D, 4S, 7C, KH]         [3H, 7D, JS, QD, KC]        player1 win
[3C, 4C, 9D, JC, AS]         [4D, 6C, 8H, JS, QD]        player1 win
[3S, 4C, 6C, JS, AH]         [3D, 6D, 9C, 9H, JH]        player2 win
[2D, 5S, 7H, 8C, 9H]         [2S, 6H, 9C, TC, KS]        player2 win
[6C, 6H, 7H, 8C, AD]         [3D, 5D, TH, KH, AS]        player1 win
[3S, 8C, 8S, TS, KS]         [4D, 4H, 5S, 6C, 9S]        player1 win
[4S, 4H, 5C, 7D, 9H]         [2D, 2H, 9D, JH, KC]        player1 win
[5C, 9D, 9H, TC, JS]         [5H, 6S, 7S, JC, KH]        player1 win
[4D, 7C, 8H, 9H, JC]         [2H, TD, TC, JD, KH]        player2 win
[2H, 2C, 6C, 8H, KH]         [5H, 6H, 9D, QS, QH]        player2 win
[2S, 3D, 7D, QD, AC]         [2D, 8D, JC, JD, JH]        player2 win
[2H, 2D, 2C, 7H, JC]         [3C, 4H, 8D, TD, KD]        player1 win
[3S, 4H, 6D, 8D, TS]         [3H, 3D, 6H, TD, TH]        player2 win
[3S, JH, JC, QH, AC]         [2C, 7H, 8S, 9H, QC]        player1 win
[4S, 7H, 8S, TD, QS]         [2S, 2H, 4D, 5D, 9C]        player2 win
[2S, 3D, 3H, TS, QC]         [6H, 8H, JC, KC, KS]        player2 win
[5D, 7D, 8C, TC, JD]         [3D, 6C, 8D, 9S, AC]        player2 win
[5D, 6H, 6C, 8H, JH]         [2C, 4H, 8D, 8S, AD]        player2 win
[2D, 2C, 3S, 4H, 9D]         [3C, 5D, TS, TC, AS]        player2 win
[4D, 5H, TH, QS, KS]         [2H, 3D, 4S, 6C, AD]        player2 win
[2C, 5C, 5S, 6H, KC]         [2D, 3C, 4D, 9H, 9S]        player2 win
[3H, 4C, TH, JD, QH]         [5S, 8S, 9H, AH, AC]        player2 win
[2H, 6S, 7D, 9S, TD]         [4H, 4C, 8H, 9C, QS]        player2 win
[3C, 4H, 5D, 6H, 8C]         [6S, 9C, QD, QS, KC]        player2 win
[2D, 3S, 9H, TC, KD]         [4H, 4S, 6S, 8C, JS]        player2 win
[2S, 4C, 6H, 8S, QS]         [3H, 5D, 8C, TH, KH]        player2 win
[2C, 3S, 5S, 7S, KH]         [6C, 7H, 8D, 9D, QD]        player1 win
[2D, 8H, KS, KH, AC]         [6C, 7H, TS, JS, KC]        player1 win
[5C, 9C, TD, QC, KS]         [5H, 6C, 7C, 9S, AH]        player2 win
[3H, 4D, 4H, 5D, 6S]         [7C, 7S, TD, QD, AH]        player2 win
[2H, 6S, 7D, TC, QC]         [3H, 7S, 9D, TS, AH]        player2 win
[5H, 9S, TH, QD, KS]         [6H, 7S, 7C, 8C, TD]        player2 win
[2D, 4D, 5C, TH, QC]         [4H, 7D, 9C, JD, AH]        player2 win
[3H, 4H, 6H, 8D, AH]         [2H, 2C, 9H, QC, QH]        player2 win
[2D, 4C, 6H, TS, AD]         [4H, 7S, TH, TD, QS]        player2 win
[2H, 3C, 3H, QS, KD]         [5D, 8H, TC, JD, QC]        player1 win
[9S, TH, JC, QD, KS]         [2D, 8D, 8C, 9C, KD]        player1 win
[3C, 4D, 6D, QD, KD]         [8D, 8S, QC, AH, AD]        player2 win
[2S, 3S, 3H, 8H, 9D]         [4C, 6H, 7C, KS, KC]        player2 win
[3D, 5C, 7D, 9S, TH]         [2C, 4D, 6H, 7S, AC]        player2 win
[2D, 3D, 4D, 5C, JD]         [4C, 5H, 6D, 9H, KH]        player2 win
[2H, 6C, 7H, TD, AS]         [3D, 4C, 4S, QD, KS]        player2 win
[3C, 7C, JC, JD, AC]         [5D, 8H, 9S, JS, QC]        player1 win
[2H, 5S, 6S, JD, AS]         [3D, 5H, 7D, 8C, JH]        player1 win
[5S, 8D, 8S, 9S, TC]         [3H, 5H, 7S, JC, AS]        player1 win
[3D, 4H, 5C, 7D, TD]         [4D, 5D, 7H, 8D, JS]        player2 win
[2S, 9C, TD, QS, KS]         [2H, 4H, 5C, 8S, AS]        player2 win
[3H, 4H, 7S, 7D, TH]         [2S, 5D, JD, KD, KC]        player2 win
